30	15	200	40	0.773545928	0
15	15	100	70	0.911940683	1
30	15	100	50	0.814867311	0
15	20	100	20	1.435332143	1
30	15	100	40	1.265909048	1
22	18	100	24	1.457227702	1
18	23	100	14	1.912673609	1
10	25	200	15	1.432541304	1
29	25	100	40	0.777448602	0
20	20	100	30	1.142195399	1
15	20	200	20	0.694361186	0
18	23	100	16	1.536521724	1
18	23	100	24	1.054096551	1
30	15	200	70	0.616868756	0
30	20	100	50	1.306089929	1
22	18	100	18	2.568407259	1
14	17	200	40	0.857073355	0
15	15	100	60	1.360770699	1
14	17	200	70	0.761082794	0
15	20	100	40	1.400044509	1
15	15	100	40	0.968578876	1
15	20	100	70	1.236995855	1
20	20	100	20	1.424042411	1
30	15	200	50	0.623686944	0
20	20	200	30	0.639524158	0
27	12	300	34	0.527185071	0
20	20	200	40	0.583633811	0
15	15	100	100	0.835540467	0
30	20	100	30	0.856184664	0
14	17	200	80	0.694355398	0
30	15	200	60	0.610484539	0
30	15	100	100	0.898056384	0
15	15	200	80	0.579297331	0
30	15	200	80	0.584010393	0
18	23	100	18	1.42744727	1
15	15	300	80	0.48997044	0
15	15	100	20	1.972683353	1
14	17	200	50	0.85212508	0
15	20	100	80	0.987043662	1
20	20	200	20	0.777587417	0
15	16	100	16	2.178481596	1
10	25	200	25	0.771503642	0
30	15	100	70	1.230927917	1
15	20	200	40	0.754537261	0
15	15	300	70	0.538651227	0
30	15	200	20	0.955296453	1
30	15	100	30	1.068551445	1
30	20	100	100	0.79887717	0
15	15	200	70	0.726396136	0
30	20	100	40	0.997667623	1
30	20	100	60	1.088612931	1
22	18	100	36	1.374326218	1
15	15	300	30	0.59538378	0
15	20	200	50	0.768373628	0
30	15	300	40	0.394028786	0
28	15	100	16	2.263947216	1
20	20	100	50	1.101590753	1
18	23	100	22	0.98210734	1
15	15	100	80	0.938538151	1
26	25	300	21	0.593627328	0
29	25	100	70	0.65610635	0
30	20	100	90	0.703330372	0
15	20	200	70	0.626509484	0
14	17	200	20	1.099575572	1
15	20	100	90	1.087560553	1
30	20	100	20	1.100996767	1
30	15	100	60	0.958956875	1
14	17	200	100	0.587373084	0
15	15	300	60	0.644282653	0
15	15	300	20	0.755031177	0
30	15	100	20	1.720087588	1
30	15	300	50	0.445195572	0
15	15	100	30	1.311226379	1
20	20	200	50	0.564917798	0
15	15	300	40	0.640866088	0
15	20	100	30	1.367249523	1
15	15	100	90	1.204298023	1
15	15	200	30	0.953480053	1
15	15	200	20	1.020652502	1
15	15	100	50	0.933937176	1
15	15	200	50	0.894478416	0
30	20	100	80	0.745117828	0
30	15	300	20	0.542908875	0
30	15	100	80	1.068203541	1
15	15	200	60	0.623929257	0
30	15	100	90	1.068378634	1
15	20	100	100	0.978801005	1
22	18	100	30	1.749733665	1
15	16	100	20	1.37108134	1
22	18	100	42	1.531824386	1
15	20	100	60	1.166177374	1
14	17	200	90	0.654629411	0
15	20	200	30	0.87334123	0
15	20	200	80	0.510574851	0
26	25	300	35	0.514113413	0
15	20	200	60	0.777208513	0
15	15	300	50	0.59150413	0
30	15	200	30	0.824427842	0
30	20	100	70	0.736392617	0
30	15	300	30	0.450843254	0
22	18	100	48	1.188537496	1
14	17	200	30	0.991036709	1
18	23	100	20	1.2874723	1
14	17	200	60	0.899102232	0
15	20	100	50	1.171140151	1
20	20	100	40	1.234492651	1
15	15	200	40	0.635426082	0
